,Unnamed: 0,Curve_idx,Dataset_idx,Learner_idx,Learner_name,Model,SMAPE,MAE,MSE,Cutoff_idx,Cutoff_percentage,Train_points,Test_points,curve_idx,SMAPE_rank,MAE_rank,MSE_rank,Average_rank,Scenario
51,207,53,163,2,SVC_rbf,POW4,2.1444797622154903,0.0393117978478364,0.0016011552525424,25,0.1,25,26,52,4.0,4.0,3.0,3.6666666666666665,Flat
52,316,79,143,1,SVC_poly,LC-PFN,0.3862533951178193,0.0061889016069471,4.148781590629369e-05,25,0.1,25,13,80,2.0,2.0,2.0,2.0,Flat
53,317,79,143,1,SVC_poly,MMF4,0.3369566514030487,0.0054354391843152,3.201265115599982e-05,25,0.1,25,13,80,1.0,1.0,1.0,1.0,Flat
54,318,79,143,1,SVC_poly,WBL4,0.5030081655014988,0.0081283142387195,6.853814534565368e-05,25,0.1,25,13,80,4.0,4.0,4.0,4.0,Flat
55,319,79,143,1,SVC_poly,POW4,0.5030081423089279,0.0081283138619754,6.853813921370637e-05,25,0.1,25,13,80,3.0,3.0,3.0,3.0,Flat
56,344,90,248,1,SVC_poly,LC-PFN,1.5251114033162594,0.0264539942145347,0.0010215591173619,25,0.1,25,34,87,2.0,2.0,2.0,2.0,Flat
57,345,90,248,1,SVC_poly,MMF4,4.639525916828705,0.077150787634558,0.0076070095422978,25,0.1,25,34,87,3.0,3.0,3.0,3.0,Flat
58,346,90,248,1,SVC_poly,WBL4,5.220340464625954,0.0862111204132316,0.0092458846112684,25,0.1,25,34,87,4.0,4.0,4.0,4.0,Flat
59,347,90,248,1,SVC_poly,POW4,1.0694585557663947,0.0185197098695026,0.0003601234444604,25,0.1,25,34,87,1.0,1.0,1.0,1.0,Flat
60,360,95,178,3,SVC_sigmoid,LC-PFN,4.858589917421341,0.0408585257828235,0.0019570239819586,25,0.1,25,42,91,4.0,4.0,4.0,4.0,Flat
61,361,95,178,3,SVC_sigmoid,MMF4,1.3136243257117783,0.0105544680083733,0.0001879972877557,25,0.1,25,42,91,2.0,2.0,2.0,2.0,Flat
62,362,95,178,3,SVC_sigmoid,WBL4,1.0863761380550836,0.0086922900663031,0.0001463876996372,25,0.1,25,42,91,1.0,1.0,1.0,1.0,Flat
63,363,95,178,3,SVC_sigmoid,POW4,2.60378177183998,0.0212982956663781,0.0005586437897202,25,0.1,25,42,91,3.0,3.0,3.0,3.0,Flat
64,368,98,131,3,SVC_sigmoid,LC-PFN,0.1202956540510058,0.0022544744424521,5.082789357402362e-06,25,0.1,25,46,93,4.0,4.0,4.0,4.0,Flat
65,369,98,131,3,SVC_sigmoid,MMF4,5.986945036599038e-05,1.1206425444131935e-06,5.475786886301483e-11,25,0.1,25,46,93,3.0,3.0,1.0,2.3333333333333335,Flat
66,370,98,131,3,SVC_sigmoid,WBL4,5.836939526482017e-05,1.0925636241035497e-06,5.4895076579935345e-11,25,0.1,25,46,93,1.0,1.0,2.0,1.3333333333333333,Flat
67,371,98,131,3,SVC_sigmoid,POW4,5.866383296176087e-05,1.098075083527661e-06,5.4915947959467235e-11,25,0.1,25,46,93,2.0,2.0,3.0,2.3333333333333335,Flat
68,412,109,228,1,SVC_poly,LC-PFN,2.0751839503645897,0.0306505635380744,0.0013098958879709,25,0.1,25,22,104,1.0,1.0,1.0,1.0,Flat
69,413,109,228,1,SVC_poly,MMF4,5.637835692917521,0.0807498271964139,0.0099793414800235,25,0.1,25,22,104,3.0,3.0,3.0,3.0,Flat
70,414,109,228,1,SVC_poly,WBL4,9.043127109349882,0.1237295614084196,0.0214057355966599,25,0.1,25,22,104,4.0,4.0,4.0,4.0,Flat
71,415,109,228,1,SVC_poly,POW4,4.714626974836708,0.0667744258011652,0.0051442578321533,25,0.1,25,22,104,2.0,2.0,2.0,2.0,Flat
72,448,119,73,3,SVC_sigmoid,LC-PFN,4.56845723092556,0.0637848675251007,0.0058415718376636,25,0.1,25,45,113,3.0,3.0,3.0,3.0,Flat
73,449,119,73,3,SVC_sigmoid,MMF4,4.30515585533461,0.0598634624240864,0.0051517843109754,25,0.1,25,45,113,2.0,2.0,2.0,2.0,Flat
74,450,119,73,3,SVC_sigmoid,WBL4,4.177692495241336,0.0579777677111829,0.0048932601807995,25,0.1,25,45,113,1.0,1.0,1.0,1.0,Flat
75,451,119,73,3,SVC_sigmoid,POW4,5.296441782823434,0.0747456493871304,0.0076875078800341,25,0.1,25,45,113,4.0,4.0,4.0,4.0,Flat
76,488,130,18,2,SVC_rbf,LC-PFN,0.358431227505207,0.0069088735617697,6.188558472786099e-05,25,0.1,25,48,123,1.0,1.0,1.0,1.0,Flat
77,489,130,18,2,SVC_rbf,MMF4,2.262117554234792,0.0430222960363127,0.0024196593463794,25,0.1,25,48,123,2.0,2.0,3.0,2.3333333333333335,Flat
78,490,130,18,2,SVC_rbf,WBL4,3.997276498559283,0.0744343094160121,0.0065733100667387,25,0.1,25,48,123,4.0,4.0,4.0,4.0,Flat
79,491,130,18,2,SVC_rbf,POW4,2.4769452062949453,0.0457935385679585,0.0023065478141624,25,0.1,25,48,123,3.0,3.0,2.0,2.6666666666666665,Flat
80,508,118,215,3,SVC_sigmoid,LC-PFN,2.73197777569294,0.0396883077919483,0.0021585014183074,25,0.1,25,27,128,4.0,4.0,4.0,4.0,Flat
81,509,118,215,3,SVC_sigmoid,MMF4,2.610353699302034,0.0379817689497296,0.0019699298176338,25,0.1,25,27,128,3.0,3.0,3.0,3.0,Flat
82,510,118,215,3,SVC_sigmoid,WBL4,1.4193595369277148,0.0209224739671036,0.0006341282260494,25,0.1,25,27,128,1.0,1.0,1.0,1.0,Flat
83,511,118,215,3,SVC_sigmoid,POW4,2.5422366369704794,0.0370217971759131,0.0018630568860287,25,0.1,25,27,128,2.0,2.0,2.0,2.0,Flat
84,536,140,98,1,SVC_poly,LC-PFN,0.3331782761961221,0.0056047705002129,4.262695074430667e-05,25,0.1,25,43,135,2.0,2.0,1.0,1.6666666666666667,Flat
85,537,140,98,1,SVC_poly,MMF4,0.3796802633845237,0.0065134962354207,7.437573557352693e-05,25,0.1,25,43,135,4.0,4.0,4.0,4.0,Flat
86,538,140,98,1,SVC_poly,WBL4,0.2987843902409038,0.0051142964201769,4.32052928704084e-05,25,0.1,25,43,135,1.0,1.0,2.0,1.3333333333333333,Flat
