Model,Scenario,Cutoff_Percentage,Scenario_Cutoff,Curve_idx,SMAPE,MAE,MSE
WBL4,Flat,0.1,Flat_10%,2472,5.250551004353479e-09,8.885547853054732e-11,7.895296064892555e-21
POW4,Flat,0.1,Flat_10%,2472,4.6040114691097995e-06,7.791404404988711e-08,6.436546399134678e-15
LC-PFN,Flat,0.1,Flat_10%,1881,0.0675689778290689,0.0012580342590808868,2.6907644041784806e-06
MMF4,Flat,0.1,Flat_10%,1881,3.7273048584092413e-06,6.932786723867768e-08,5.817585352418817e-15
WBL4,Flat,0.1,Flat_10%,1881,3.89863768523812e-09,7.251466094260195e-11,5.258376051620521e-21
POW4,Flat,0.1,Flat_10%,1881,1.2342724618824981e-06,2.295746819383493e-08,7.492460727639965e-16
LC-PFN,Flat,0.1,Flat_10%,2261,0.5198151804506779,0.00988003145903349,0.0001090130172087811
MMF4,Flat,0.1,Flat_10%,2261,0.4043481249439212,0.007625018224357007,7.783309687180742e-05
WBL4,Flat,0.1,Flat_10%,2261,0.1901142389000427,0.003597122302158251,2.2658132486651687e-05
POW4,Flat,0.1,Flat_10%,2261,0.19011423890004875,0.003597122302158251,2.265813237247119e-05
LC-PFN,Flat,0.1,Flat_10%,2196,0.39681708440184593,0.007503677625209093,5.7050041505135596e-05
MMF4,Flat,0.1,Flat_10%,2196,0.018262169516482685,0.00034378097412454483,5.693414225357818e-07
WBL4,Flat,0.1,Flat_10%,2196,0.018260924123138327,0.00034375751015080277,5.696921619026762e-07
POW4,Flat,0.1,Flat_10%,2196,0.018260973725826864,0.00034375844469897713,5.696917848810022e-07
LC-PFN,Flat,0.1,Flat_10%,177,0.4305961076170206,0.008134444244205952,7.942377851577476e-05
MMF4,Flat,0.1,Flat_10%,177,1.6944118985911967,0.03266646486588517,0.001473032793216882
WBL4,Flat,0.1,Flat_10%,177,0.17889240270357837,0.0033697544837065193,1.541036077221469e-05
POW4,Flat,0.1,Flat_10%,177,0.1770310814815091,0.0033347251527453574,1.600613927958356e-05
LC-PFN,Flat,0.1,Flat_10%,1550,0.02457085356581956,0.00031599070644006133,1.0255796922820082e-07
MMF4,Flat,0.1,Flat_10%,1550,2.2811754280765254e-07,2.9329398292748325e-09,8.773144769260194e-18
WBL4,Flat,0.1,Flat_10%,1550,0.0005656167905950473,7.272258980820882e-06,5.541686712746763e-11
POW4,Flat,0.1,Flat_10%,1550,5.587661415239386e-06,7.184136539982609e-08,5.588676692632186e-15
LC-PFN,Flat,0.1,Flat_10%,1200,1.0668144561350346,0.0199385154992342,0.0004312064847908914
MMF4,Flat,0.1,Flat_10%,1200,3.0726644509194716,0.058791346195122406,0.0036617064523868457
WBL4,Flat,0.1,Flat_10%,1200,0.8897004560770133,0.01637336001442591,0.00035365920550153835
POW4,Flat,0.1,Flat_10%,1200,2.2065749406117523,0.04203459768174405,0.002053582549595478
LC-PFN,Flat,0.1,Flat_10%,1083,2.5883663445711136,0.04993889108300209,0.002677170094102621
MMF4,Flat,0.1,Flat_10%,1083,2.1696049550090866,0.042040044017511,0.0018976150429878995
WBL4,Flat,0.1,Flat_10%,1083,2.5232006489231984,0.04871536374199472,0.0025643216854697574
POW4,Flat,0.1,Flat_10%,1083,1.7743238344452354,0.0344403758619366,0.0013607049739886065
LC-PFN,Flat,0.1,Flat_10%,2364,0.15157258603721857,0.0030228064861148596,9.610770575818606e-06
MMF4,Flat,0.1,Flat_10%,2364,0.02422000724944672,0.0004837017208555019,3.6043622871177533e-07
WBL4,Flat,0.1,Flat_10%,2364,0.024218597010978404,0.00048367356685243994,3.604082577636851e-07
POW4,Flat,0.1,Flat_10%,2364,0.024218812233435038,0.0004836778635539515,3.604124237179189e-07
LC-PFN,Flat,0.1,Flat_10%,2574,18.886998295783997,0.07663784176111221,0.007552195806056261
MMF4,Flat,0.1,Flat_10%,2574,7.266229496275897,0.02545358982697447,0.0012085543824661977
WBL4,Flat,0.1,Flat_10%,2574,7.257139475389117,0.025425391411225358,0.0012134585067829127
POW4,Flat,0.1,Flat_10%,2574,7.908312674681901,0.027591874358457318,0.0011855451837564023
LC-PFN,Flat,0.1,Flat_10%,1481,3.5319823771715164,0.007439162116497755,8.845469710649922e-05
MMF4,Flat,0.1,Flat_10%,1481,1.3597220987274201,0.0027260700450993545,1.2058311268443783e-05
WBL4,Flat,0.1,Flat_10%,1481,5.592631648988034,0.011968691008788446,0.00017990346544752078
POW4,Flat,0.1,Flat_10%,1481,1.4738316452547893,0.0029592523416285504,1.398100344352456e-05
LC-PFN,Flat,0.1,Flat_10%,322,0.5838940385729074,0.011492082849144936,0.0001545157138025388
MMF4,Flat,0.1,Flat_10%,322,0.15536253258669794,0.0030371523822631556,2.1322090904045447e-05
WBL4,Flat,0.1,Flat_10%,322,0.16235763813101703,0.0031742944076853545,1.989799658218421e-05
POW4,Flat,0.1,Flat_10%,322,0.2781031454700444,0.0054516700202233695,5.100635262751019e-05
LC-PFN,Flat,0.1,Flat_10%,284,0.08780291536822915,0.0012579560279846191,1.5826350363568054e-06
MMF4,Flat,0.1,Flat_10%,284,3.896288017074204e-07,5.5871299631249375e-09,3.3874458132943276e-17
WBL4,Flat,0.1,Flat_10%,284,7.170166540508967e-05,1.0281756602648072e-06,1.1982027935376586e-12
POW4,Flat,0.1,Flat_10%,284,1.689035880433949e-06,2.4220137588848446e-08,6.244274472053882e-16
LC-PFN,Flat,0.1,Flat_10%,187,0.6667852401733398,0.01264150533825159,0.00018352431652601808
MMF4,Flat,0.1,Flat_10%,187,1.3141294354385071,0.025122126611338495,0.0007505874463830043
WBL4,Flat,0.1,Flat_10%,187,0.20877284505143806,0.003926482874081026,2.2021427840426574e-05
