Model,Scenario,Cutoff_Percentage,Scenario_Cutoff,SMAPE,MAE,MSE,curve_idx,SMAPE_rank,MAE_rank,MSE_rank,Average_rank
WBL4,UL,0.3,UL_30%,2.393330939961469,0.04181031477644686,0.0022907092406507486,539,3.0,3.0,3.0,3.0
POW4,UL,0.3,UL_30%,0.31910932476870235,0.005651577065880175,5.531452820917527e-05,539,1.0,1.0,1.0,1.0
LC-PFN,UL,0.3,UL_30%,15.741183280944824,0.10300901532173157,0.01631661131978035,540,1.0,1.0,1.0,1.0
MMF4,UL,0.3,UL_30%,61.628005851807735,0.2890666655437217,0.11055934086651131,540,4.0,4.0,4.0,4.0
WBL4,UL,0.3,UL_30%,30.05299782389476,0.17938155058821204,0.04555147025913496,540,2.0,2.0,2.0,2.0
POW4,UL,0.3,UL_30%,34.09030631337467,0.19835777799713647,0.056239614684940674,540,3.0,3.0,3.0,3.0
LC-PFN,UL,0.3,UL_30%,2.1840014457702637,0.028085658326745033,0.001123789930716157,541,1.0,1.0,1.0,1.0
MMF4,UL,0.3,UL_30%,3.2674790184201004,0.041403923698093904,0.002438350135750991,541,4.0,4.0,4.0,4.0
WBL4,UL,0.3,UL_30%,2.610091442545082,0.03336752080861099,0.001644793877021814,541,2.0,2.0,2.0,2.0
POW4,UL,0.3,UL_30%,2.6100915117648693,0.03336752166254434,0.0016447939467855105,541,3.0,3.0,3.0,3.0
LC-PFN,UL,0.3,UL_30%,4.878692150115967,0.07536409795284271,0.008577348664402962,542,1.0,1.0,1.0,1.0
MMF4,UL,0.3,UL_30%,5.1349897513289156,0.07953536463828284,0.010660977196381241,542,2.0,2.0,2.0,2.0
WBL4,UL,0.3,UL_30%,10.521303248699857,0.17954009017713896,0.041716788328377656,542,4.0,4.0,4.0,4.0
POW4,UL,0.3,UL_30%,5.1536611532874455,0.08035491673576353,0.010702853506693066,542,3.0,3.0,3.0,3.0
LC-PFN,UL,0.3,UL_30%,1.1820392608642578,0.020672498270869255,0.0005371861043386161,543,1.0,1.0,1.0,1.0
MMF4,UL,0.3,UL_30%,1.2826215624451396,0.022135753590075562,0.0008332917575713852,543,2.0,2.0,2.0,2.0
WBL4,UL,0.3,UL_30%,1.776347016588429,0.030428244295912985,0.001307015602899257,543,3.0,3.0,3.0,3.0
POW4,UL,0.3,UL_30%,1.9114279574367887,0.03367175011259739,0.0013152950455911185,543,4.0,4.0,4.0,4.0
LC-PFN,UL,0.3,UL_30%,8.891029357910156,0.14512622356414795,0.021111544221639633,544,4.0,4.0,4.0,4.0
MMF4,UL,0.3,UL_30%,3.746662420501638,0.06420190179189877,0.004121886837141175,544,2.0,2.0,2.0,2.0
WBL4,UL,0.3,UL_30%,3.9440353739333274,0.06745570746146423,0.004550272469126641,544,3.0,3.0,3.0,3.0
POW4,UL,0.3,UL_30%,2.403826279833433,0.041727083658339825,0.001748878645302656,544,1.0,1.0,1.0,1.0
LC-PFN,UL,0.3,UL_30%,8.222798347473145,0.0702812671661377,0.01362188532948494,545,1.0,1.0,1.0,1.0
MMF4,UL,0.3,UL_30%,15.978550888316107,0.13686650568051542,0.02243329481622238,545,4.0,3.0,3.0,3.3333333333333335
WBL4,UL,0.3,UL_30%,11.651398774809248,0.10111684298138579,0.014034038560627361,545,2.0,2.0,2.0,2.0
POW4,UL,0.3,UL_30%,15.024783181765603,0.16244559481458165,0.041802356051264596,545,3.0,4.0,4.0,3.6666666666666665
LC-PFN,UL,0.3,UL_30%,3.1871213912963867,0.04426007345318794,0.002278872299939394,546,2.0,2.0,2.0,2.0
MMF4,UL,0.3,UL_30%,2.400868240589827,0.03301579985694873,0.0013744608549153944,546,1.0,1.0,1.0,1.0
WBL4,UL,0.3,UL_30%,7.723161666479915,0.11292166427721362,0.013101607982227167,546,3.0,3.0,3.0,3.0
POW4,UL,0.3,UL_30%,7.723161667996785,0.11292166430132614,0.013101607988121199,546,4.0,4.0,4.0,4.0
LC-PFN,UL,0.3,UL_30%,3.459805965423584,0.04753929376602173,0.005165773909538984,547,1.0,3.0,3.0,2.3333333333333335
MMF4,UL,0.3,UL_30%,6.541807422626082,0.0863662763277017,0.010608044464405008,547,4.0,4.0,4.0,4.0
WBL4,UL,0.3,UL_30%,3.469563330202463,0.04753858285460087,0.0044168778343319365,547,2.0,1.0,1.0,1.3333333333333333
POW4,UL,0.3,UL_30%,3.4695633356641347,0.04753858293455571,0.0044168778459830315,547,3.0,2.0,2.0,2.3333333333333335
LC-PFN,UL,0.3,UL_30%,3.475375175476074,0.04956839978694916,0.00271711777895689,548,4.0,4.0,4.0,4.0
MMF4,UL,0.3,UL_30%,1.0511230591752754,0.014564312241724666,0.0002310343476189432,548,1.0,1.0,1.0,1.0
WBL4,UL,0.3,UL_30%,2.715569314059935,0.03829356246672471,0.001486277311182365,548,2.0,2.0,2.0,2.0
POW4,UL,0.3,UL_30%,2.715569314140344,0.038293562467890715,0.0014862773112751643,548,3.0,3.0,3.0,3.0
LC-PFN,UL,0.3,UL_30%,1.5919225215911865,0.030026575550436974,0.001146202557720244,549,4.0,4.0,4.0,4.0
MMF4,UL,0.3,UL_30%,0.8402553061395815,0.01609379701327908,0.00033913611252556387,549,1.0,1.0,1.0,1.0
WBL4,UL,0.3,UL_30%,1.4807745203799911,0.028626194312547915,0.0010700723619253981,549,3.0,3.0,3.0,3.0
POW4,UL,0.3,UL_30%,1.351736967963404,0.025339691721130184,0.0006923713697398373,549,2.0,2.0,2.0,2.0
LC-PFN,UL,0.3,UL_30%,2.8662469387054443,0.026560014113783836,0.0008475935901515186,550,1.0,1.0,1.0,1.0
MMF4,UL,0.3,UL_30%,18.42055428706411,0.1471018073604673,0.023047318778703068,550,3.0,3.0,3.0,3.0
WBL4,UL,0.3,UL_30%,18.725987097639013,0.14913361700685077,0.023650237178095848,550,4.0,4.0,4.0,4.0
POW4,UL,0.3,UL_30%,10.409832432199499,0.08928786182406617,0.008421455012618404,550,2.0,2.0,2.0,2.0
LC-PFN,UL,0.3,UL_30%,14.298218727111816,0.06725912541151047,0.006707325112074614,551,1.0,1.0,1.0,1.0
MMF4,UL,0.3,UL_30%,14.60764560743868,0.06774521813625571,0.006810080712731856,551,2.0,2.0,2.0,2.0
WBL4,UL,0.3,UL_30%,52.75950826059923,0.5718634663452284,0.3619768840122859,551,4.0,4.0,4.0,4.0
POW4,UL,0.3,UL_30%,16.443490518063836,0.08234751002270965,0.009618622764952272,551,3.0,3.0,3.0,3.0
LC-PFN,UL,0.3,UL_30%,28.44409942626953,0.18951086699962616,0.04180026426911354,552,4.0,4.0,4.0,4.0
MMF4,UL,0.3,UL_30%,6.118255680302782,0.04208441293577648,0.0023801290777989625,552,1.0,1.0,1.0,1.0
WBL4,UL,0.3,UL_30%,6.716996259678555,0.05187668910069895,0.0036866666943251663,552,2.0,2.0,2.0,2.0
POW4,UL,0.3,UL_30%,10.662150645742068,0.08200819003099946,0.007868510042513996,552,3.0,3.0,3.0,3.0
LC-PFN,UL,0.3,UL_30%,2.587768316268921,0.03782209753990173,0.0018225554376840591,553,3.0,3.0,3.0,3.0
MMF4,UL,0.3,UL_30%,1.8371049491629494,0.026555122414379705,0.0009274157203028831,553,2.0,2.0,2.0,2.0
WBL4,UL,0.3,UL_30%,1.826797012882398,0.026402170450905885,0.0009131753319121874,553,1.0,1.0,1.0,1.0
POW4,UL,0.3,UL_30%,4.327809048896833,0.06500960191471102,0.005616110169914135,553,4.0,4.0,4.0,4.0
LC-PFN,UL,0.3,UL_30%,4.149852752685547,0.05007273331284523,0.003157123224809766,554,2.0,3.0,3.0,2.6666666666666665
MMF4,UL,0.3,UL_30%,5.138713924622734,0.0598646373939682,0.0038618247769326053,554,4.0,4.0,4.0,4.0
WBL4,UL,0.3,UL_30%,4.46707651376291,0.04916720383406146,0.0031531857467567634,554,3.0,2.0,2.0,2.3333333333333335
POW4,UL,0.3,UL_30%,2.208212698282069,0.02585443580133573,0.0011127549156960388,554,1.0,1.0,1.0,1.0
LC-PFN,UL,0.3,UL_30%,1.0937925577163696,0.019815653562545776,0.0005168741918168962,555,1.0,1.0,1.0,1.0
MMF4,UL,0.3,UL_30%,2.555150529768652,0.045537283253724935,0.002824707319581326,555,3.0,3.0,3.0,3.0
WBL4,UL,0.3,UL_30%,2.7176002348022337,0.04833008509626852,0.0030897391020246537,555,4.0,4.0,4.0,4.0
POW4,UL,0.3,UL_30%,2.2895529527906704,0.042446489083726405,0.0022005772691236175,555,2.0,2.0,2.0,2.0
LC-PFN,UL,0.3,UL_30%,7.538832664489746,0.09774596244096756,0.010417211800813675,556,2.0,2.0,2.0,2.0
MMF4,UL,0.3,UL_30%,15.423998124460836,0.22290673844451345,0.057087784706691014,556,4.0,4.0,4.0,4.0
WBL4,UL,0.3,UL_30%,5.579365797740448,0.07061212263220563,0.005391577220002331,556,1.0,1.0,1.0,1.0
POW4,UL,0.3,UL_30%,9.196038730559799,0.12229844705795566,0.01726138237061488,556,3.0,3.0,3.0,3.0
LC-PFN,UL,0.3,UL_30%,1.7392300367355347,0.026142150163650513,0.0013212086632847786,557,1.0,1.0,1.0,1.0
MMF4,UL,0.3,UL_30%,2.4100512258163764,0.03651634069609161,0.0020878981118829377,557,3.0,3.0,3.0,3.0
WBL4,UL,0.3,UL_30%,2.4736639713040476,0.037518783355566576,0.0021792640427535453,557,4.0,4.0,4.0,4.0
POW4,UL,0.3,UL_30%,2.347849858739525,0.035537537926182694,0.002000776319629226,557,2.0,2.0,2.0,2.0
LC-PFN,UL,0.3,UL_30%,0.9874998331069946,0.01851864531636238,0.0004961017402820289,558,2.0,2.0,2.0,2.0
MMF4,UL,0.3,UL_30%,3.1340020518834786,0.06040238869190807,0.0038922498936104864,558,4.0,4.0,4.0,4.0
WBL4,UL,0.3,UL_30%,3.074366194422505,0.05924886922900063,0.0037875257368124205,558,3.0,3.0,3.0,3.0
POW4,UL,0.3,UL_30%,0.4851979844850441,0.009050291680701332,0.00013503397252975338,558,1.0,1.0,1.0,1.0
LC-PFN,UL,0.3,UL_30%,1.303359031677246,0.01677272655069828,0.0004505021497607231,559,1.0,1.0,1.0,1.0
MMF4,UL,0.3,UL_30%,2.9123044741997077,0.03679079009221958,0.0017630868386420671,559,4.0,4.0,4.0,4.0
WBL4,UL,0.3,UL_30%,2.8388357058703897,0.03589581186420433,0.001692770948765479,559,3.0,3.0,3.0,3.0
POW4,UL,0.3,UL_30%,2.6749682261027847,0.03389449068167299,0.0015409050288023736,559,2.0,2.0,2.0,2.0
LC-PFN,UL,0.3,UL_30%,6.072731971740723,0.06702984124422073,0.008447282016277313,560,1.0,1.0,1.0,1.0
MMF4,UL,0.3,UL_30%,7.008046124414157,0.07668158965284881,0.008779479049640456,560,3.0,3.0,2.0,2.6666666666666665
WBL4,UL,0.3,UL_30%,8.19948557518152,0.08893976739585761,0.011715981276662063,560,4.0,4.0,4.0,4.0
POW4,UL,0.3,UL_30%,6.1557304901470795,0.06864385718997128,0.009147196566430513,560,2.0,2.0,3.0,2.3333333333333335
LC-PFN,UL,0.3,UL_30%,5.485035419464111,0.04883895441889763,0.0030292507726699114,561,1.0,1.0,1.0,1.0
MMF4,UL,0.3,UL_30%,16.68146228307976,0.1235794733014265,0.015962467217955495,561,3.0,3.0,3.0,3.0
WBL4,UL,0.3,UL_30%,16.72127678079696,0.12383048357392358,0.016025088907075234,561,4.0,4.0,4.0,4.0
POW4,UL,0.3,UL_30%,16.180578993939175,0.12040536693834333,0.015172861410027192,561,2.0,2.0,2.0,2.0
LC-PFN,UL,0.3,UL_30%,2.4837703704833984,0.031824786216020584,0.0014528038445860147,562,2.0,2.0,2.0,2.0
MMF4,UL,0.3,UL_30%,3.697658025580973,0.046939254893325164,0.0026982946866751143,562,3.0,3.0,3.0,3.0
WBL4,UL,0.3,UL_30%,4.014504983181299,0.05080795857443244,0.0031042679089953147,562,4.0,4.0,4.0,4.0
POW4,UL,0.3,UL_30%,2.464908978574934,0.03156487248784237,0.0014490019953550205,562,1.0,1.0,1.0,1.0
LC-PFN,UL,0.3,UL_30%,0.3710390627384186,0.007146378047764301,0.00010510808351682499,563,1.0,1.0,1.0,1.0
MMF4,UL,0.3,UL_30%,0.7170916525327766,0.013810948736076512,0.0002360326253003324,563,4.0,4.0,4.0,4.0
WBL4,UL,0.3,UL_30%,0.6421825910792317,0.012375840968386802,0.00019525746376217835,563,3.0,3.0,3.0,3.0
POW4,UL,0.3,UL_30%,0.5517667779287305,0.010639088720126645,0.00015158830535525364,563,2.0,2.0,2.0,2.0
LC-PFN,UL,0.3,UL_30%,0.2704489827156067,0.004137208219617605,2.0332612621132284e-05,564,1.0,1.0,1.0,1.0
MMF4,UL,0.3,UL_30%,0.373086180721887,0.005712915435045857,3.619313916364208e-05,564,2.0,2.0,2.0,2.0
WBL4,UL,0.3,UL_30%,0.4635179190132636,0.007102959753738581,5.7985114622129586e-05,564,3.0,3.0,3.0,3.0
POW4,UL,0.3,UL_30%,1.0753682067220156,0.016702454909389288,0.00041413379674168615,564,4.0,4.0,4.0,4.0
LC-PFN,UL,0.3,UL_30%,5.993423938751221,0.08782479166984558,0.009531736373901367,565,2.0,2.0,2.0,2.0
MMF4,UL,0.3,UL_30%,6.57741068470949,0.09745201161189694,0.012268749880265998,565,3.0,3.0,3.0,3.0
WBL4,UL,0.3,UL_30%,8.606124667750596,0.1313542375034461,0.02232189055173871,565,4.0,4.0,4.0,4.0
POW4,UL,0.3,UL_30%,3.8640124589213154,0.05104085063530939,0.004021867188443505,565,1.0,1.0,1.0,1.0
LC-PFN,UL,0.3,UL_30%,20.108814239501953,0.1155969426035881,0.024202190339565277,566,4.0,4.0,4.0,4.0
MMF4,UL,0.3,UL_30%,8.333766524816092,0.059669582888682654,0.004054159262505982,566,3.0,3.0,3.0,3.0
WBL4,UL,0.3,UL_30%,4.096531256521762,0.031097309944227696,0.0018994383331708412,566,1.0,1.0,1.0,1.0
POW4,UL,0.3,UL_30%,4.096531277581003,0.031097310118057005,0.0018994383459115054,566,2.0,2.0,2.0,2.0
LC-PFN,UL,0.3,UL_30%,2.037480354309082,0.03471233695745468,0.0020984511356800795,567,2.0,2.0,1.0,1.6666666666666667
MMF4,UL,0.3,UL_30%,2.449475453987043,0.041391845753218484,0.0029807918129903235,567,4.0,4.0,4.0,4.0
WBL4,UL,0.3,UL_30%,2.4096067810519277,0.0407403358896182,0.0029314639183126217,567,3.0,3.0,3.0,3.0
POW4,UL,0.3,UL_30%,1.910813696544907,0.03253276029556265,0.0022156671793099976,567,1.0,1.0,2.0,1.3333333333333333
LC-PFN,UL,0.3,UL_30%,1.121841311454773,0.019787779077887535,0.00044688957859762013,568,1.0,1.0,1.0,1.0
MMF4,UL,0.3,UL_30%,1.2006759908811375,0.02115959727560004,0.0005066519249357323,568,3.0,3.0,3.0,3.0
WBL4,UL,0.3,UL_30%,1.2132007943294043,0.021377333068090257,0.0005159208873443995,568,4.0,4.0,4.0,4.0
POW4,UL,0.3,UL_30%,1.1465110601807196,0.020217293206887945,0.00046451510060196977,568,2.0,2.0,2.0,2.0
LC-PFN,UL,0.3,UL_30%,4.445364475250244,0.045013777911663055,0.006176122464239597,569,1.0,1.0,1.0,1.0
MMF4,UL,0.3,UL_30%,7.292477170496402,0.07966000339988025,0.010903330599752495,569,4.0,4.0,4.0,4.0
WBL4,UL,0.3,UL_30%,6.088976575719435,0.06439112727145478,0.008324416600266943,569,3.0,3.0,3.0,3.0
POW4,UL,0.3,UL_30%,5.731731384534915,0.060298086909808445,0.007547554391774775,569,2.0,2.0,2.0,2.0
LC-PFN,UL,0.5,UL_50%,9.256647109985352,0.08709916472434998,0.009496857412159443,570,1.0,1.0,1.0,1.0
MMF4,UL,0.5,UL_50%,12.866216275743348,0.11646393899162742,0.016273504148735872,570,4.0,4.0,4.0,4.0
WBL4,UL,0.5,UL_50%,11.958685551180709,0.10929883763625503,0.014655014726256015,570,3.0,3.0,3.0,3.0
POW4,UL,0.5,UL_50%,11.958685495034814,0.10929883718702965,0.014655014608290683,570,2.0,2.0,2.0,2.0
LC-PFN,UL,0.5,UL_50%,1.0882285833358765,0.021352391690015793,0.0004783739859703928,571,4.0,4.0,4.0,4.0
MMF4,UL,0.5,UL_50%,0.15224625700568267,0.0030029199900949793,1.626700520611041e-05,571,1.0,1.0,1.0,1.0
WBL4,UL,0.5,UL_50%,0.4188771088202359,0.008277690585124514,7.491603946507106e-05,571,3.0,3.0,3.0,3.0
POW4,UL,0.5,UL_50%,0.30572158391789933,0.00603443221121526,4.456460567107983e-05,571,2.0,2.0,2.0,2.0
LC-PFN,UL,0.5,UL_50%,5.074244976043701,0.07843425869941711,0.006882166489958763,572,3.0,3.0,3.0,3.0
MMF4,UL,0.5,UL_50%,3.7152498519196135,0.06439284201528322,0.00588059470208779,572,2.0,2.0,2.0,2.0
WBL4,UL,0.5,UL_50%,5.991976254674992,0.10639848543007563,0.01475947062092649,572,4.0,4.0,4.0,4.0
POW4,UL,0.5,UL_50%,3.680099134561174,0.05701911125614659,0.0035274830011107093,572,1.0,1.0,1.0,1.0
LC-PFN,UL,0.5,UL_50%,4.0191779136657715,0.07226105779409409,0.0062202890403568745,573,3.0,3.0,3.0,3.0
MMF4,UL,0.5,UL_50%,0.943083051289155,0.017068511866425204,0.0005065837160944237,573,1.0,1.0,1.0,1.0
WBL4,UL,0.5,UL_50%,1.2953463322127263,0.024389909118545366,0.0008951159572766571,573,2.0,2.0,2.0,2.0
POW4,UL,0.5,UL_50%,4.6240595354939655,0.08195339806182504,0.007262134883961226,573,4.0,4.0,4.0,4.0
LC-PFN,UL,0.5,UL_50%,1.5762401819229126,0.019564438611268997,0.000616523262578994,574,4.0,4.0,4.0,4.0
MMF4,UL,0.5,UL_50%,1.1855345027166393,0.014540929301216879,0.000331003648676903,574,2.0,2.0,2.0,2.0
WBL4,UL,0.5,UL_50%,1.1956482669277977,0.014663139593331502,0.0003362985557791665,574,3.0,3.0,3.0,3.0
POW4,UL,0.5,UL_50%,0.9265768841612324,0.011389894392963966,0.00023435078142181888,574,1.0,1.0,1.0,1.0
LC-PFN,UL,0.5,UL_50%,2.324364185333252,0.04078633338212967,0.0021456938702613115,575,1.0,1.0,1.0,1.0
MMF4,UL,0.5,UL_50%,3.8700561972010195,0.06931069684138243,0.006005163209667561,575,3.0,3.0,3.0,3.0
WBL4,UL,0.5,UL_50%,4.5137312720714435,0.08147210494605202,0.008156969268372043,575,4.0,4.0,4.0,4.0
POW4,UL,0.5,UL_50%,2.9127653249804952,0.05164837047997934,0.0036649777795161194,575,2.0,2.0,2.0,2.0
LC-PFN,UL,0.5,UL_50%,0.5284578204154968,0.009832005947828293,0.0001246273168362677,576,3.0,3.0,3.0,3.0
MMF4,UL,0.5,UL_50%,1.4911617174239544,0.027397262889662186,0.0008506615893540154,576,4.0,4.0,4.0,4.0
WBL4,UL,0.5,UL_50%,0.2923230400929763,0.005454545449859793,4.5575578221930314e-05,576,1.0,1.0,1.0,1.0
POW4,UL,0.5,UL_50%,0.29232312895185114,0.005454547102657425,4.5575595303394704e-05,576,2.0,2.0,2.0,2.0
LC-PFN,UL,0.5,UL_50%,0.6118478775024414,0.011752919293940067,0.00018160269246436656,577,2.0,2.0,2.0,2.0
MMF4,UL,0.5,UL_50%,0.5171877130768843,0.009922254557974545,0.00013432803971827808,577,1.0,1.0,1.0,1.0
WBL4,UL,0.5,UL_50%,1.2230104938223525,0.023662543357906424,0.0006080116075407438,577,3.0,3.0,3.0,3.0
POW4,UL,0.5,UL_50%,1.2230109032096854,0.02366255138522568,0.0006080119874343967,577,4.0,4.0,4.0,4.0
LC-PFN,UL,0.5,UL_50%,1.4716488122940063,0.027700908482074738,0.0009400342241860926,578,1.0,1.0,1.0,1.0
MMF4,UL,0.5,UL_50%,3.199022067071147,0.05905108782196459,0.004317916238236492,578,3.0,3.0,3.0,3.0
WBL4,UL,0.5,UL_50%,3.842849487312593,0.07040268050458948,0.005976975596056134,578,4.0,4.0,4.0,4.0
POW4,UL,0.5,UL_50%,2.192126006034422,0.040470937186434505,0.0016945010417775256,578,2.0,2.0,2.0,2.0
LC-PFN,UL,0.5,UL_50%,29.03990364074707,0.09513108432292938,0.011699685826897621,579,1.0,1.0,1.0,1.0
MMF4,UL,0.5,UL_50%,53.67781169689172,0.14518518518327983,0.026564477365701878,579,4.0,4.0,4.0,4.0
WBL4,UL,0.5,UL_50%,49.126021089159,0.13801597149169992,0.024534147755796352,579,3.0,3.0,3.0,3.0
POW4,UL,0.5,UL_50%,46.770461643936635,0.13403163623984332,0.023387652452481443,579,2.0,2.0,2.0,2.0
LC-PFN,UL,0.5,UL_50%,0.40563881397247314,0.004130892921239138,2.5714300136314705e-05,580,1.0,1.0,1.0,1.0
MMF4,UL,0.5,UL_50%,0.7548410085963122,0.007657804242591339,7.740375961425393e-05,580,4.0,4.0,4.0,4.0
WBL4,UL,0.5,UL_50%,0.44226895013612444,0.00450362737334159,2.962397905526455e-05,580,2.0,2.0,2.0,2.0
POW4,UL,0.5,UL_50%,0.6435975030232036,0.006538481616552243,5.769925707933406e-05,580,3.0,3.0,3.0,3.0
LC-PFN,UL,0.5,UL_50%,5.0777130126953125,0.07354448735713959,0.006147298030555248,581,2.0,2.0,2.0,2.0
MMF4,UL,0.5,UL_50%,12.541682864636286,0.20173553586512577,0.04799478419627699,581,3.0,3.0,3.0,3.0
WBL4,UL,0.5,UL_50%,16.073212424650947,0.26741115816261773,0.07864323262054447,581,4.0,4.0,4.0,4.0
POW4,UL,0.5,UL_50%,4.060790412530147,0.05829357188624468,0.004045396041724412,581,1.0,1.0,1.0,1.0
LC-PFN,UL,0.5,UL_50%,1.5762364864349365,0.020264089107513428,0.0004438683099579066,582,2.0,2.0,1.0,1.6666666666666667
MMF4,UL,0.5,UL_50%,2.6708277699964937,0.03512359267061218,0.002111465339594881,582,4.0,4.0,4.0,4.0
WBL4,UL,0.5,UL_50%,1.8304668893645872,0.02355822343581652,0.0007416728201386801,582,3.0,3.0,3.0,3.0
POW4,UL,0.5,UL_50%,1.3762602160172819,0.017722122794813184,0.0004530572024432603,582,1.0,1.0,2.0,1.3333333333333333
LC-PFN,UL,0.5,UL_50%,0.4150932729244232,0.00784696452319622,0.00012506266648415476,583,1.0,1.0,1.0,1.0
MMF4,UL,0.5,UL_50%,1.4053316234995192,0.02711352710245363,0.000977568740301353,583,3.0,3.0,3.0,3.0
WBL4,UL,0.5,UL_50%,1.7551115864389066,0.034008635451769735,0.0014627322765502226,583,4.0,4.0,4.0,4.0
POW4,UL,0.5,UL_50%,0.9600655427136315,0.018400304688259667,0.0005003675735470515,583,2.0,2.0,2.0,2.0
LC-PFN,UL,0.5,UL_50%,1.514305830001831,0.026025548577308655,0.0007371809333562851,584,1.0,1.0,1.0,1.0
MMF4,UL,0.5,UL_50%,5.892703326899452,0.09696492902277176,0.009562596007552476,584,4.0,4.0,4.0,4.0
WBL4,UL,0.5,UL_50%,4.106165250614701,0.07460028324321316,0.005797224737538378,584,3.0,3.0,3.0,3.0
POW4,UL,0.5,UL_50%,1.811544894465315,0.030701320684498774,0.0013586223417496684,584,2.0,2.0,2.0,2.0
LC-PFN,UL,0.5,UL_50%,12.455294609069824,0.03491520136594772,0.0014565893216058612,585,4.0,4.0,4.0,4.0
MMF4,UL,0.5,UL_50%,7.3403169040875005,0.01915829451764044,0.00060867880640825,585,1.0,1.0,1.0,1.0
WBL4,UL,0.5,UL_50%,8.451822062604073,0.022305882188956676,0.0007492871903221801,585,3.0,3.0,3.0,3.0
POW4,UL,0.5,UL_50%,8.451821746596348,0.02230588127202484,0.000749287151971062,585,2.0,2.0,2.0,2.0
LC-PFN,UL,0.5,UL_50%,0.41175228357315063,0.008058058097958565,6.890140502946451e-05,586,4.0,4.0,4.0,4.0
MMF4,UL,0.5,UL_50%,0.029648115365905007,0.0005831388884753158,1.7562493090337533e-06,586,3.0,3.0,3.0,3.0
WBL4,UL,0.5,UL_50%,0.029640641010016806,0.0005829921028393435,1.7559725571513615e-06,586,2.0,2.0,2.0,2.0
POW4,UL,0.5,UL_50%,0.029639886693834886,0.0005829772891534993,1.7559552848371728e-06,586,1.0,1.0,1.0,1.0
LC-PFN,UL,0.5,UL_50%,2.5651192665100098,0.04641895741224289,0.0023728415835648775,587,2.0,2.0,2.0,2.0
MMF4,UL,0.5,UL_50%,4.6192259477562105,0.08188452029586676,0.00744144400881534,587,3.0,3.0,3.0,3.0
WBL4,UL,0.5,UL_50%,4.897368778545542,0.08656320521075488,0.008309964262280692,587,4.0,4.0,4.0,4.0
POW4,UL,0.5,UL_50%,0.797313095762531,0.014637731219499843,0.00027363328373242597,587,1.0,1.0,1.0,1.0
LC-PFN,UL,0.5,UL_50%,2.1275551319122314,0.03657595068216324,0.001812563743442297,588,2.0,2.0,1.0,1.6666666666666667
MMF4,UL,0.5,UL_50%,3.9209278316383704,0.06620083383570276,0.006598375495725859,588,3.0,3.0,3.0,3.0
WBL4,UL,0.5,UL_50%,5.769775636113024,0.09495636841865061,0.012756792715857213,588,4.0,4.0,4.0,4.0
POW4,UL,0.5,UL_50%,2.074688711581346,0.035968443788940554,0.0019666431410149308,588,1.0,1.0,2.0,1.3333333333333333
LC-PFN,UL,0.5,UL_50%,1.8735127449035645,0.03358188644051552,0.0031035204883664846,589,1.0,1.0,1.0,1.0
MMF4,UL,0.5,UL_50%,5.776623016531653,0.10299085157772551,0.011525568769053727,589,4.0,4.0,4.0,4.0
WBL4,UL,0.5,UL_50%,3.5841036470457346,0.06486098167297644,0.0051296520696425514,589,3.0,3.0,3.0,3.0
POW4,UL,0.5,UL_50%,3.584103632779096,0.06486098141774108,0.0051296520432079235,589,2.0,2.0,2.0,2.0
LC-PFN,UL,0.5,UL_50%,1.0146435499191284,0.01949401944875717,0.00044980060192756355,590,2.0,2.0,2.0,2.0
MMF4,UL,0.5,UL_50%,1.2454641083652573,0.023887214934782713,0.00069825853590755,590,3.0,3.0,3.0,3.0
WBL4,UL,0.5,UL_50%,1.2733710492065613,0.024414285295079923,0.0007253125366224832,590,4.0,4.0,4.0,4.0
POW4,UL,0.5,UL_50%,0.559589493506214,0.010863063566437974,0.00017156589990924203,590,1.0,1.0,1.0,1.0
LC-PFN,UL,0.5,UL_50%,0.3763352632522583,0.0037718601524829865,2.6650075596990064e-05,591,4.0,4.0,4.0,4.0
MMF4,UL,0.5,UL_50%,0.3405644237241233,0.0034107076334882348,2.3255636927734963e-05,591,3.0,3.0,3.0,3.0
WBL4,UL,0.5,UL_50%,0.30542815093671666,0.003059081687264837,2.2011748057645975e-05,591,1.0,1.0,2.0,1.3333333333333333
POW4,UL,0.5,UL_50%,0.30542818565143265,0.0030590820351907057,2.201174803710205e-05,591,2.0,2.0,1.0,1.6666666666666667
LC-PFN,UL,0.5,UL_50%,0.8570004105567932,0.013913176022469997,0.0002716935414355248,592,1.0,1.0,1.0,1.0
MMF4,UL,0.5,UL_50%,1.157430949040632,0.01873845274599837,0.0005383625566927899,592,3.0,3.0,3.0,3.0
WBL4,UL,0.5,UL_50%,1.1588070785238942,0.018760392220642554,0.0005398161198134483,592,4.0,4.0,4.0,4.0
POW4,UL,0.5,UL_50%,1.022254844809561,0.016576244470342227,0.00040880433363189986,592,2.0,2.0,2.0,2.0
LC-PFN,UL,0.5,UL_50%,1.3153542280197144,0.021434597671031952,0.0005328914267010987,593,3.0,3.0,3.0,3.0
MMF4,UL,0.5,UL_50%,1.1496176762714558,0.018783308984166427,0.00046012294538700895,593,2.0,2.0,2.0,2.0
WBL4,UL,0.5,UL_50%,1.4646024177208208,0.023836065209450547,0.0006947662384997654,593,4.0,4.0,4.0,4.0
POW4,UL,0.5,UL_50%,0.714040894235396,0.011732191784561086,0.00019738250604010594,593,1.0,1.0,1.0,1.0
