Model,Scenario,Cutoff_Percentage,Scenario_Cutoff,SMAPE,MAE,MSE,curve_idx,SMAPE_rank,MAE_rank,MSE_rank,Average_rank
MMF4,KDKL,0.1,KDKL_10%,66.85735372347396,0.601410708891727,0.3857790747589006,24,4.0,4.0,4.0,4.0
WBL4,KDKL,0.1,KDKL_10%,20.077988257724964,0.22066115673508035,0.13052967605448249,24,2.0,1.0,1.0,1.3333333333333333
POW4,KDKL,0.1,KDKL_10%,20.07798825686854,0.22066115702479328,0.1305296769346353,24,1.0,2.0,2.0,1.6666666666666667
LC-PFN,KDKL,0.1,KDKL_10%,1.5742963552474976,0.02768201380968094,0.001403390197083354,25,1.0,1.0,2.0,1.3333333333333333
MMF4,KDKL,0.1,KDKL_10%,1.754342987709704,0.030310767181058164,0.0011753615199998951,25,2.0,2.0,1.0,1.6666666666666667
WBL4,KDKL,0.1,KDKL_10%,2.007886356101771,0.03462177928971474,0.0014389425433680072,25,3.0,3.0,3.0,3.0
POW4,KDKL,0.1,KDKL_10%,4.238710884827024,0.0776575776155442,0.007457989124620511,25,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.1,KDKL_10%,0.011216234415769577,0.00016834303096402436,1.4933193881461193e-07,26,4.0,4.0,4.0,4.0
MMF4,KDKL,0.1,KDKL_10%,1.238279000269412e-07,1.8574184977960717e-09,3.912070065902833e-18,26,1.0,1.0,1.0,1.0
WBL4,KDKL,0.1,KDKL_10%,0.0006161842283914829,9.242829655864426e-06,9.93457725067729e-11,26,3.0,3.0,3.0,3.0
POW4,KDKL,0.1,KDKL_10%,6.388937543391655e-07,9.58340639572503e-09,1.209563215257346e-16,26,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.1,KDKL_10%,5.039698123931885,0.0757567286491394,0.006277190987020731,27,2.0,2.0,2.0,2.0
MMF4,KDKL,0.1,KDKL_10%,6.16584263244763,0.08387287001467089,0.007823751278361076,27,3.0,3.0,3.0,3.0
WBL4,KDKL,0.1,KDKL_10%,6.214510455111236,0.08449357336320429,0.00793516485856233,27,4.0,4.0,4.0,4.0
POW4,KDKL,0.1,KDKL_10%,2.420518733671715,0.03474425270644537,0.0016226229031122178,27,1.0,1.0,1.0,1.0
LC-PFN,KDKL,0.1,KDKL_10%,0.15901504456996918,0.003000460099428892,9.016175681608729e-06,28,3.0,3.0,3.0,3.0
MMF4,KDKL,0.1,KDKL_10%,0.20735007353683924,0.0039040428615973017,2.761717079294845e-05,28,4.0,4.0,4.0,4.0
WBL4,KDKL,0.1,KDKL_10%,0.004854637179945514,9.174373507991884e-05,8.41691292641433e-09,28,1.0,1.0,1.0,1.0
POW4,KDKL,0.1,KDKL_10%,0.00485486843525406,9.174810516876519e-05,8.417714802058801e-09,28,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.1,KDKL_10%,0.8401433229446411,0.010882562026381493,0.00014936471416149288,29,1.0,1.0,1.0,1.0
MMF4,KDKL,0.1,KDKL_10%,4.468385687869227,0.060894069266507866,0.003911234888421452,29,3.0,3.0,3.0,3.0
WBL4,KDKL,0.1,KDKL_10%,2.3323827960136314,0.029813033868247314,0.001175962903323061,29,2.0,2.0,2.0,2.0
POW4,KDKL,0.1,KDKL_10%,7.669919060246406,0.110981468361392,0.015222461497756069,29,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.1,KDKL_10%,4.461686134338379,0.05484609305858612,0.004119912628084421,30,4.0,4.0,4.0,4.0
MMF4,KDKL,0.1,KDKL_10%,2.1098526604655516,0.025166494134675893,0.0013229073954202477,30,2.0,2.0,2.0,2.0
WBL4,KDKL,0.1,KDKL_10%,2.2508682819387773,0.026791233180866073,0.0014395872488341306,30,3.0,3.0,3.0,3.0
POW4,KDKL,0.1,KDKL_10%,1.9779377282838277,0.02363205367628816,0.001157409649032128,30,1.0,1.0,1.0,1.0
LC-PFN,KDKL,0.1,KDKL_10%,2.8597729206085205,0.009247837588191032,0.00011731650738511235,31,2.0,2.0,2.0,2.0
MMF4,KDKL,0.1,KDKL_10%,1.3113750037708582,0.004107430544159375,3.911124717010938e-05,31,1.0,1.0,1.0,1.0
WBL4,KDKL,0.1,KDKL_10%,41.79920417512134,0.3759701955065242,0.24149217191675196,31,4.0,4.0,4.0,4.0
POW4,KDKL,0.1,KDKL_10%,8.975931064426922,0.03310923026892346,0.001749220522878392,31,3.0,3.0,3.0,3.0
LC-PFN,KDKL,0.1,KDKL_10%,6.147787570953369,0.0665888786315918,0.0055107311345636845,32,1.0,1.0,1.0,1.0
MMF4,KDKL,0.1,KDKL_10%,11.80509025723239,0.13802967875839067,0.023688555322541244,32,3.0,3.0,3.0,3.0
WBL4,KDKL,0.1,KDKL_10%,21.29298565578598,0.295693508530972,0.1161758955506371,32,4.0,4.0,4.0,4.0
POW4,KDKL,0.1,KDKL_10%,8.350459194410012,0.10040848370524336,0.01704570401112769,32,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.1,KDKL_10%,1.358553409576416,0.02533545158803463,0.0010693526128306985,33,2.0,2.0,3.0,2.3333333333333335
MMF4,KDKL,0.1,KDKL_10%,0.98470262988525,0.018480998684674156,0.0005748941661307627,33,1.0,1.0,1.0,1.0
WBL4,KDKL,0.1,KDKL_10%,1.4123990734244438,0.02632031003095742,0.0010497232603845965,33,3.0,3.0,2.0,2.6666666666666665
POW4,KDKL,0.1,KDKL_10%,1.684067077552829,0.03172516805147653,0.0012156313612643494,33,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.1,KDKL_10%,1.8756141662597656,0.03546960651874542,0.0016980873188003898,34,3.0,3.0,3.0,3.0
MMF4,KDKL,0.1,KDKL_10%,1.4678019567971423,0.027861692517368326,0.0010519428624504916,34,2.0,2.0,2.0,2.0
WBL4,KDKL,0.1,KDKL_10%,1.9543927053971968,0.036915286137897414,0.0019080558881037265,34,4.0,4.0,4.0,4.0
POW4,KDKL,0.1,KDKL_10%,0.9653820330035574,0.018414896249939038,0.00043701362905738223,34,1.0,1.0,1.0,1.0
LC-PFN,KDKL,0.1,KDKL_10%,3.110236644744873,0.056361518800258636,0.0034175312612205744,35,2.0,2.0,2.0,2.0
MMF4,KDKL,0.1,KDKL_10%,6.142587765565038,0.1084634296120705,0.012548951111728879,35,3.0,3.0,3.0,3.0
WBL4,KDKL,0.1,KDKL_10%,6.840315628422326,0.11995733531196438,0.015397030172480956,35,4.0,4.0,4.0,4.0
POW4,KDKL,0.1,KDKL_10%,2.5365819897692075,0.0458538345480485,0.0025924419296366958,35,1.0,1.0,1.0,1.0
LC-PFN,KDKL,0.1,KDKL_10%,0.15294386446475983,0.0030158855952322483,1.3072351976006757e-05,36,1.0,1.0,1.0,1.0
MMF4,KDKL,0.1,KDKL_10%,0.5062513094014293,0.010034423158120474,0.00011635731630285616,36,3.0,3.0,3.0,3.0
WBL4,KDKL,0.1,KDKL_10%,0.5693960786974743,0.01129245780067048,0.00014647616937014672,36,4.0,4.0,4.0,4.0
POW4,KDKL,0.1,KDKL_10%,0.3639038159414608,0.007199327175391998,5.8117601844596986e-05,36,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.1,KDKL_10%,0.720058798789978,0.013527961447834969,0.00020386029791552573,37,2.0,2.0,2.0,2.0
MMF4,KDKL,0.1,KDKL_10%,0.6000974343660436,0.011280845466435109,0.000142340589667872,37,1.0,1.0,1.0,1.0
WBL4,KDKL,0.1,KDKL_10%,0.9299142756693193,0.017840426069486236,0.00040364233664085295,37,4.0,4.0,4.0,4.0
POW4,KDKL,0.1,KDKL_10%,0.9233028917046452,0.017309112902334833,0.0003267059911336422,37,3.0,3.0,3.0,3.0
LC-PFN,KDKL,0.1,KDKL_10%,0.28886276483535767,0.005222916603088379,3.823349470621906e-05,38,3.0,3.0,3.0,3.0
MMF4,KDKL,0.1,KDKL_10%,0.1616884261108439,0.002915791543304596,8.695225994772925e-06,38,2.0,2.0,2.0,2.0
WBL4,KDKL,0.1,KDKL_10%,0.03865008271019824,0.0006969436342328403,1.9811604904165448e-06,38,1.0,1.0,1.0,1.0
POW4,KDKL,0.1,KDKL_10%,1.8043637888517494,0.033306974824391045,0.001490483927872064,38,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.1,KDKL_10%,5.966255187988281,0.055546246469020844,0.0039987582713365555,39,4.0,4.0,4.0,4.0
MMF4,KDKL,0.1,KDKL_10%,2.9998205444696078,0.026421849220974028,0.0011454484249124378,39,2.0,2.0,2.0,2.0
WBL4,KDKL,0.1,KDKL_10%,2.9959284815554166,0.026386229753230878,0.0011299510500025847,39,1.0,1.0,1.0,1.0
POW4,KDKL,0.1,KDKL_10%,3.3648076728733294,0.02976081900944757,0.001411087301472741,39,3.0,3.0,3.0,3.0
LC-PFN,KDKL,0.1,KDKL_10%,1.1793832778930664,0.01785290241241455,0.0004101422964595258,40,4.0,4.0,4.0,4.0
MMF4,KDKL,0.1,KDKL_10%,0.8964338318574828,0.013412664881375191,0.00024715813072393724,40,2.0,2.0,2.0,2.0
WBL4,KDKL,0.1,KDKL_10%,0.899827883994164,0.013462985505786522,0.0002487536893540779,40,3.0,3.0,3.0,3.0
POW4,KDKL,0.1,KDKL_10%,0.7056169748796377,0.010570896465922562,0.00016341041903541255,40,1.0,1.0,1.0,1.0
LC-PFN,KDKL,0.1,KDKL_10%,3.3846230506896973,0.055059101432561874,0.005231739021837711,41,1.0,1.0,1.0,1.0
MMF4,KDKL,0.1,KDKL_10%,40.59430952973744,0.49304882419899576,0.24693520854038226,41,4.0,4.0,4.0,4.0
WBL4,KDKL,0.1,KDKL_10%,6.0299925380022925,0.09779596379917398,0.010441570595564147,41,2.0,2.0,2.0,2.0
POW4,KDKL,0.1,KDKL_10%,6.029992596712329,0.0977959646980028,0.010441570770591253,41,3.0,3.0,3.0,3.0
LC-PFN,KDKL,0.1,KDKL_10%,0.6914634108543396,0.01360994577407837,0.00023049429000820965,42,1.0,1.0,1.0,1.0
MMF4,KDKL,0.1,KDKL_10%,0.7981951532371209,0.01569859823333705,0.0003546677258252707,42,3.0,3.0,3.0,3.0
WBL4,KDKL,0.1,KDKL_10%,0.7444589320134721,0.014652766757769905,0.00030139469808680545,42,2.0,2.0,2.0,2.0
POW4,KDKL,0.1,KDKL_10%,2.4573714070902777,0.046786066097924274,0.002781899723582073,42,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.1,KDKL_10%,2.2051985263824463,0.03660084679722786,0.0018675124738365412,43,2.0,2.0,2.0,2.0
MMF4,KDKL,0.1,KDKL_10%,4.195736301180369,0.06795965090800642,0.0059460244281467805,43,3.0,3.0,3.0,3.0
WBL4,KDKL,0.1,KDKL_10%,4.2110429780768435,0.06819477239130571,0.005978037409541519,43,4.0,4.0,4.0,4.0
POW4,KDKL,0.1,KDKL_10%,1.232532572776451,0.020528733303043684,0.0005881478093126095,43,1.0,1.0,1.0,1.0
LC-PFN,KDKL,0.1,KDKL_10%,3.527843475341797,0.056786149740219116,0.0032369757536798716,44,4.0,4.0,4.0,4.0
MMF4,KDKL,0.1,KDKL_10%,0.9773711857827951,0.016127653428622046,0.0002670306040383981,44,1.0,1.0,1.0,1.0
WBL4,KDKL,0.1,KDKL_10%,2.3182411550577187,0.037761939755925344,0.0014259640941301352,44,3.0,3.0,3.0,3.0
POW4,KDKL,0.1,KDKL_10%,1.5464339469895414,0.02537591624790786,0.0006529254843623906,44,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.1,KDKL_10%,1.2699629068374634,0.024095293134450912,0.0006046884809620678,45,4.0,4.0,4.0,4.0
MMF4,KDKL,0.1,KDKL_10%,1.0474767551896222,0.019928542775642284,0.00044897003061911914,45,1.0,1.0,1.0,1.0
WBL4,KDKL,0.1,KDKL_10%,1.1847857012092313,0.022507182219381933,0.0005605441175220897,45,3.0,3.0,3.0,3.0
POW4,KDKL,0.1,KDKL_10%,1.0661819642959784,0.020798316461518338,0.0005235075656117551,45,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.1,KDKL_10%,18.058063507080078,0.18498219549655914,0.07604395598173141,46,1.0,1.0,1.0,1.0
MMF4,KDKL,0.1,KDKL_10%,41.07022572670982,0.36562753773674794,0.2013836724456398,46,4.0,4.0,4.0,4.0
