Model,Scenario,Cutoff_Percentage,Scenario_Cutoff,Curve_idx,SMAPE,MAE,MSE,curve_idx,SMAPE_rank,MAE_rank,MSE_rank,Average_rank
LC-PFN,KDKL,0.7,KDKL_70%,12280,0.23260816931724548,0.003741145133972168,2.0007957573398016e-05,20,2.0,2.0,2.0,2.0
MMF4,KDKL,0.7,KDKL_70%,12280,0.539019428611827,0.008632779425503527,8.641628575387334e-05,20,3.0,3.0,3.0,3.0
WBL4,KDKL,0.7,KDKL_70%,12280,0.6753739786771722,0.010800215547976005,0.00012795955393812893,20,4.0,4.0,4.0,4.0
POW4,KDKL,0.7,KDKL_70%,12280,0.20140291142462594,0.003241349203965682,1.5989107693613415e-05,20,1.0,1.0,1.0,1.0
LC-PFN,KDKL,0.9,KDKL_90%,3478,9.969780921936035,0.14360341429710388,0.048933837562799454,21,3.0,3.0,4.0,3.3333333333333335
MMF4,KDKL,0.9,KDKL_90%,3478,13.37876377766763,0.18793669321892426,0.03983016124044059,21,4.0,4.0,3.0,3.6666666666666665
WBL4,KDKL,0.9,KDKL_90%,3478,9.51880691138621,0.13351698773215454,0.03220366293884808,21,1.0,1.0,2.0,1.3333333333333333
POW4,KDKL,0.9,KDKL_90%,3478,9.518806933366575,0.13351698805896475,0.03220366280859391,21,2.0,2.0,1.0,1.6666666666666667
LC-PFN,KDKL,0.9,KDKL_90%,30495,1.010225772857666,0.012902569957077503,0.0002287684183102101,22,1.0,1.0,1.0,1.0
MMF4,KDKL,0.9,KDKL_90%,30495,1.4994822588145778,0.019085547432592408,0.0006004569103121606,22,2.0,2.0,2.0,2.0
WBL4,KDKL,0.9,KDKL_90%,30495,3.297891619705611,0.043468834621519584,0.002116700077180147,22,3.0,3.0,3.0,3.0
POW4,KDKL,0.9,KDKL_90%,30495,3.2978916245825585,0.043468834688266275,0.002116700082982769,22,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.9,KDKL_90%,78907,1.4084529876708984,0.02203306555747986,0.0006033930112607777,23,3.0,3.0,3.0,3.0
MMF4,KDKL,0.9,KDKL_90%,78907,0.7750540745908694,0.012019488971212447,0.0002081163029647661,23,2.0,2.0,2.0,2.0
WBL4,KDKL,0.9,KDKL_90%,78907,0.7664668467815944,0.01188495041307989,0.000204280038477029,23,1.0,1.0,1.0,1.0
POW4,KDKL,0.9,KDKL_90%,78907,3.3209192529894738,0.05308333999373647,0.0029385729108170216,23,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.9,KDKL_90%,66237,0.23577545583248138,0.004508068319410086,2.780722024908755e-05,24,1.0,1.0,1.0,1.0
MMF4,KDKL,0.9,KDKL_90%,66237,0.7492891921136504,0.014241222500599116,0.00022006480199703208,24,4.0,4.0,4.0,4.0
WBL4,KDKL,0.9,KDKL_90%,66237,0.7380972262711943,0.01403019677531501,0.00021409880669630567,24,3.0,3.0,3.0,3.0
POW4,KDKL,0.9,KDKL_90%,66237,0.26186621388939313,0.005018080741250264,3.561491719713463e-05,24,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.9,KDKL_90%,73563,0.7034878134727478,0.012446120381355286,0.00024192314594984055,25,1.0,1.0,1.0,1.0
MMF4,KDKL,0.9,KDKL_90%,73563,0.8359398223170299,0.014763312647058657,0.0003450395861624572,25,2.0,2.0,3.0,2.3333333333333335
WBL4,KDKL,0.9,KDKL_90%,73563,0.869608151434631,0.015350634813388678,0.0003643478790937311,25,4.0,4.0,4.0,4.0
POW4,KDKL,0.9,KDKL_90%,73563,0.8441724862010697,0.014957695579134261,0.0003000539993218054,25,3.0,3.0,2.0,2.6666666666666665
LC-PFN,UD,0.1,UD_10%,23462,3.5192034244537354,0.03637528419494629,0.0018826448358595371,26,1.0,1.0,1.0,1.0
MMF4,UD,0.1,UD_10%,23462,25.94387523756083,0.2055466253113312,0.05449381486639688,26,4.0,4.0,4.0,4.0
WBL4,UD,0.1,UD_10%,23462,3.720290202369736,0.03843739989980389,0.0022020598278451545,26,2.0,2.0,2.0,2.0
POW4,UD,0.1,UD_10%,23462,3.720290210964314,0.03843739998416226,0.00220205983581706,26,3.0,3.0,3.0,3.0
LC-PFN,UD,0.1,UD_10%,6515,2.9039504528045654,0.037624455988407135,0.0016969026764854789,27,1.0,1.0,1.0,1.0
MMF4,UD,0.1,UD_10%,6515,17.59075112365934,0.18501306795689057,0.03718038142701433,27,4.0,4.0,4.0,4.0
WBL4,UD,0.1,UD_10%,6515,6.89773919772238,0.0928093933247613,0.008665939809317074,27,2.0,2.0,2.0,2.0
POW4,UD,0.1,UD_10%,6515,6.897739297033414,0.09280939476064415,0.00866594007584713,27,3.0,3.0,3.0,3.0
LC-PFN,UD,0.1,UD_10%,21295,7.103246688842773,0.09731701761484146,0.012962540611624718,28,2.0,2.0,2.0,2.0
MMF4,UD,0.1,UD_10%,21295,8.8444585934936,0.13461558908247304,0.02502977079476369,28,3.0,3.0,3.0,3.0
WBL4,UD,0.1,UD_10%,21295,11.014366405853067,0.17402189557876785,0.0386944226453906,28,4.0,4.0,4.0,4.0
POW4,UD,0.1,UD_10%,21295,4.625095363942773,0.0629687168082932,0.005864863116269653,28,1.0,1.0,1.0,1.0
LC-PFN,UD,0.1,UD_10%,22981,1.0321882963180542,0.017596645280718803,0.0004100885125808418,29,2.0,2.0,2.0,2.0
MMF4,UD,0.1,UD_10%,22981,6.070101456617058,0.11258242613598257,0.01355939356744663,29,4.0,4.0,4.0,4.0
WBL4,UD,0.1,UD_10%,22981,0.6069585146450021,0.01049271920824514,0.00015708976020810438,29,1.0,1.0,1.0,1.0
POW4,UD,0.1,UD_10%,22981,3.3250339207068484,0.05443207886892557,0.0046856583719024365,29,3.0,3.0,3.0,3.0
LC-PFN,UD,0.1,UD_10%,17856,3.1858808994293213,0.03889583796262741,0.005756782833486795,30,1.0,1.0,1.0,1.0
MMF4,UD,0.1,UD_10%,17856,10.462206618287206,0.1281726433070068,0.016989754929666707,30,4.0,4.0,4.0,4.0
WBL4,UD,0.1,UD_10%,17856,9.071763418060911,0.11214285705354549,0.013393701166002891,30,2.0,2.0,2.0,2.0
POW4,UD,0.1,UD_10%,17856,9.071763647079335,0.11214285973253162,0.013393701717150305,30,3.0,3.0,3.0,3.0
LC-PFN,UD,0.3,UD_30%,19309,2.36293625831604,0.03074607439339161,0.0014103723224252462,31,1.0,1.0,1.0,1.0
MMF4,UD,0.3,UD_30%,19309,3.391438094724681,0.04354575471124989,0.00280701419370063,31,2.0,2.0,2.0,2.0
WBL4,UD,0.3,UD_30%,19309,3.452613892065283,0.044295566976471794,0.0029152726558774288,31,3.0,3.0,3.0,3.0
POW4,UD,0.3,UD_30%,19309,3.47044974866486,0.04451388507391864,0.002948198182003341,31,4.0,4.0,4.0,4.0
LC-PFN,UD,0.3,UD_30%,14719,1.1339287757873535,0.0032327871304005384,1.6334517567884177e-05,32,4.0,4.0,4.0,4.0
MMF4,UD,0.3,UD_30%,14719,0.8475018767974934,0.002403846120833191,7.318150726454058e-06,32,1.0,1.0,1.0,1.0
WBL4,UD,0.3,UD_30%,14719,0.8922054246896757,0.002532984562415408,1.0915764603825664e-05,32,3.0,3.0,3.0,3.0
POW4,UD,0.3,UD_30%,14719,0.8482902705025944,0.0024061633140019106,9.28218450252723e-06,32,2.0,2.0,2.0,2.0
LC-PFN,UD,0.3,UD_30%,7223,8.761676788330078,0.03897199034690857,0.0023221198935061693,33,2.0,2.0,2.0,2.0
MMF4,UD,0.3,UD_30%,7223,11.247546931775299,0.04459935404412404,0.0030375828954286098,33,3.0,3.0,3.0,3.0
WBL4,UD,0.3,UD_30%,7223,11.411734128266044,0.04515689341171089,0.0030951683140062127,33,4.0,4.0,4.0,4.0
POW4,UD,0.3,UD_30%,7223,7.641611679981663,0.031739668070991545,0.0017486000835346075,33,1.0,1.0,1.0,1.0
LC-PFN,UD,0.3,UD_30%,13746,1.4637280702590942,0.022333579137921333,0.0007183869020082057,34,1.0,1.0,2.0,1.3333333333333333
MMF4,UD,0.3,UD_30%,13746,5.899720672422389,0.09562236413690904,0.009723426015629994,34,3.0,3.0,3.0,3.0
WBL4,UD,0.3,UD_30%,13746,1.491152586778839,0.022645884190930717,0.0007162552383767158,34,2.0,2.0,1.0,1.6666666666666667
POW4,UD,0.3,UD_30%,13746,6.605568851659957,0.1091883816614606,0.013532614057214704,34,4.0,4.0,4.0,4.0
LC-PFN,UD,0.3,UD_30%,9115,7.292186260223389,0.08882200717926025,0.01211573462933302,35,1.0,1.0,1.0,1.0
MMF4,UD,0.3,UD_30%,9115,12.288479037590278,0.16143643511694042,0.03107265809031599,35,3.0,3.0,3.0,3.0
WBL4,UD,0.3,UD_30%,9115,23.152321585485815,0.3549134512752304,0.1359760043766164,35,4.0,4.0,4.0,4.0
POW4,UD,0.3,UD_30%,9115,10.217253020076058,0.1312513625569783,0.023285764349120205,35,2.0,2.0,2.0,2.0
LC-PFN,UD,0.5,UD_50%,24864,0.8777843117713928,0.015048163011670113,0.00040732702473178506,36,1.0,1.0,1.0,1.0
MMF4,UD,0.5,UD_50%,24864,3.5184170649422644,0.058362732081455496,0.004014026590409702,36,3.0,3.0,3.0,3.0
WBL4,UD,0.5,UD_50%,24864,3.6218822836101214,0.060008968183825416,0.00421865000200888,36,4.0,4.0,4.0,4.0
POW4,UD,0.5,UD_50%,24864,1.9641065316237913,0.03318890486094582,0.001433893637794314,36,2.0,2.0,2.0,2.0
LC-PFN,UD,0.5,UD_50%,13848,0.09584365785121918,0.001762855565175414,4.271955276635708e-06,37,4.0,4.0,4.0,4.0
MMF4,UD,0.5,UD_50%,13848,1.4188234700656625e-06,2.6130849099910318e-08,7.748575989548281e-16,37,2.0,2.0,2.0,2.0
WBL4,UD,0.5,UD_50%,13848,4.92191760462857e-09,9.064826667071202e-11,8.21710825040452e-21,37,1.0,1.0,1.0,1.0
POW4,UD,0.5,UD_50%,13848,1.7645657187138576e-05,3.249848339710486e-07,1.2617686610893982e-13,37,3.0,3.0,3.0,3.0
LC-PFN,UD,0.5,UD_50%,212,1.427268385887146,0.02764754556119442,0.0008122148574329913,38,1.0,1.0,1.0,1.0
MMF4,UD,0.5,UD_50%,212,3.8366094298717157,0.07261510801732017,0.0054787797029788084,38,3.0,3.0,3.0,3.0
WBL4,UD,0.5,UD_50%,212,4.234334764813422,0.07984249790483255,0.006719866656752733,38,4.0,4.0,4.0,4.0
POW4,UD,0.5,UD_50%,212,2.5449665458641237,0.0484219552902489,0.0024718907099577983,38,2.0,2.0,2.0,2.0
LC-PFN,UD,0.5,UD_50%,5231,0.1713809370994568,0.003077171975746751,1.0388268492533825e-05,39,1.0,1.0,1.0,1.0
MMF4,UD,0.5,UD_50%,5231,0.6468598623871042,0.011558431814383494,0.0001360120833227944,39,2.0,2.0,2.0,2.0
WBL4,UD,0.5,UD_50%,5231,0.6684373874983963,0.011941385730752192,0.00014501143159158586,39,3.0,3.0,3.0,3.0
POW4,UD,0.5,UD_50%,5231,1.456784459001997,0.026618566040012566,0.0007582305964708752,39,4.0,4.0,4.0,4.0
LC-PFN,UD,0.5,UD_50%,22876,1.1455639600753784,0.015156051144003868,0.0003564701764844358,40,1.0,1.0,1.0,1.0
MMF4,UD,0.5,UD_50%,22876,22.99837468946072,0.22743757115439786,0.07465869001200459,40,4.0,3.0,4.0,3.6666666666666665
WBL4,UD,0.5,UD_50%,22876,16.27000906122062,0.2561873238631522,0.07155924982276389,40,3.0,4.0,3.0,3.3333333333333335
POW4,UD,0.5,UD_50%,22876,2.1595924586188957,0.028861357847361976,0.0013910252744149558,40,2.0,2.0,2.0,2.0
LC-PFN,UD,0.7,UD_70%,5094,1.0695490837097168,0.004635934252291918,2.8884240236948244e-05,41,1.0,1.0,1.0,1.0
MMF4,UD,0.7,UD_70%,5094,3.8149557289847693,0.01617296661928874,0.0003099042878617587,41,4.0,4.0,4.0,4.0
WBL4,UD,0.7,UD_70%,5094,2.8659945500038337,0.012293925849211473,0.0001867272052677371,41,3.0,3.0,3.0,3.0
POW4,UD,0.7,UD_70%,5094,2.1687548960866345,0.009362146196330712,0.00010499918066128862,41,2.0,2.0,2.0,2.0
LC-PFN,UD,0.7,UD_70%,11149,8.476791381835938,0.0693008080124855,0.014318677596747875,42,1.0,1.0,4.0,2.0
MMF4,UD,0.7,UD_70%,11149,11.56885699792199,0.09754667993804714,0.012316182812375046,42,4.0,4.0,3.0,3.6666666666666665
WBL4,UD,0.7,UD_70%,11149,11.397111153949497,0.09601838969751678,0.012127808765511807,42,2.0,2.0,1.0,1.6666666666666667
POW4,UD,0.7,UD_70%,11149,11.503480741888259,0.09697182276718434,0.012254413475982833,42,3.0,3.0,2.0,2.6666666666666665
LC-PFN,UD,0.7,UD_70%,7055,0.35654160380363464,0.004539628978818655,2.505600241420325e-05,43,1.0,1.0,1.0,1.0
MMF4,UD,0.7,UD_70%,7055,0.6427691610538916,0.008214520115975591,8.325196540850082e-05,43,3.0,3.0,3.0,3.0
WBL4,UD,0.7,UD_70%,7055,0.4747289479634059,0.006053048240899983,4.3825661584134896e-05,43,2.0,2.0,2.0,2.0
POW4,UD,0.7,UD_70%,7055,0.7961664126680652,0.01019506491240966,0.00012880850707691903,43,4.0,4.0,4.0,4.0
LC-PFN,UD,0.7,UD_70%,9105,2.211923122406006,0.028805915266275406,0.0011859856313094497,44,4.0,4.0,4.0,4.0
MMF4,UD,0.7,UD_70%,9105,1.5529647122022938,0.02007075902455199,0.0006027280276789685,44,2.0,2.0,2.0,2.0
WBL4,UD,0.7,UD_70%,9105,1.5499470596670244,0.020031602535124416,0.0006011625315201306,44,1.0,1.0,1.0,1.0
POW4,UD,0.7,UD_70%,9105,2.0532217732253826,0.026687623757737713,0.0010472412583248613,44,3.0,3.0,3.0,3.0
LC-PFN,UD,0.7,UD_70%,25018,6.261984348297119,0.07123394310474396,0.007835348136723042,45,4.0,4.0,4.0,4.0
MMF4,UD,0.7,UD_70%,25018,5.228325696720234,0.058513524286667506,0.005497860817629976,45,3.0,3.0,3.0,3.0
WBL4,UD,0.7,UD_70%,25018,5.097652357679592,0.05694183340773481,0.005318245773188764,45,1.0,1.0,1.0,1.0
POW4,UD,0.7,UD_70%,25018,5.1176786732120005,0.05718251067304275,0.005339361229293293,45,2.0,2.0,2.0,2.0
LC-PFN,UD,0.9,UD_90%,12449,3.5290908813476562,0.041410136967897415,0.0025113956071436405,46,2.0,2.0,2.0,2.0
MMF4,UD,0.9,UD_90%,12449,3.7891311064158613,0.04465697251022691,0.0029737075947333423,46,4.0,4.0,4.0,4.0
WBL4,UD,0.9,UD_90%,12449,3.4430322568825638,0.04036445067533503,0.0020766054105132124,46,1.0,1.0,1.0,1.0
POW4,UD,0.9,UD_90%,12449,3.73214886222093,0.04394777451155132,0.0028750323449445218,46,3.0,3.0,3.0,3.0
LC-PFN,UD,0.9,UD_90%,11029,0.44225651025772095,0.004479086492210627,2.842755930032581e-05,47,4.0,4.0,4.0,4.0
MMF4,UD,0.9,UD_90%,11029,0.4256673031116395,0.004310566558609808,2.335598309534151e-05,47,1.0,1.0,1.0,1.0
WBL4,UD,0.9,UD_90%,11029,0.42789057621829013,0.004333085257920022,2.474417111519187e-05,47,2.0,2.0,2.0,2.0
POW4,UD,0.9,UD_90%,11029,0.42936239560528316,0.0043481250998455455,2.547113290638162e-05,47,3.0,3.0,3.0,3.0
LC-PFN,UD,0.9,UD_90%,3169,66.82078552246094,0.009660235606133938,9.761386172613129e-05,48,4.0,4.0,4.0,4.0
MMF4,UD,0.9,UD_90%,3169,36.54823222598462,0.0020662931063906835,5.568817363768549e-06,48,1.0,1.0,1.0,1.0
