Model,Scenario,Cutoff_Percentage,Scenario_Cutoff,Curve_idx,SMAPE,MAE,MSE
MMF4,Flat,0.1,Flat_10%,639,2.311985163148546,0.004615013335815972,3.4503770877779496e-05
WBL4,Flat,0.1,Flat_10%,639,2.413610379258662,0.004825846463851195,3.700193373151878e-05
POW4,Flat,0.1,Flat_10%,639,2.413608118928594,0.004825841768671809,3.70018803953028e-05
LC-PFN,Flat,0.1,Flat_10%,1772,0.41935425251722336,0.008350139483809471,7.354484114330262e-05
MMF4,Flat,0.1,Flat_10%,1772,0.00019781286407199306,3.955900912301918e-06,7.126578017769605e-10
WBL4,Flat,0.1,Flat_10%,1772,4.431755145169767e-08,8.863509847416062e-10,8.85846896898427e-17
POW4,Flat,0.1,Flat_10%,1772,0.09948544321318592,0.00197899161469802,2.1281017141614945e-05
LC-PFN,Flat,0.1,Flat_10%,1476,1.422357466071844,0.002845087554305792,1.1751129022741225e-05
MMF4,Flat,0.1,Flat_10%,1476,1.888306153391197,0.0037477274318308993,2.1780342416547426e-05
WBL4,Flat,0.1,Flat_10%,1476,59.06656876776292,0.5388795595559852,0.40568423272495874
POW4,Flat,0.1,Flat_10%,1476,8.498105284158154,0.019686417746239453,0.0006616452489824082
LC-PFN,Flat,0.1,Flat_10%,2536,14.883160591125488,0.019204244017601013,0.0005187391652725637
MMF4,Flat,0.1,Flat_10%,2536,22.15641361093971,0.026419752572010003,0.0008488949583393434
WBL4,Flat,0.1,Flat_10%,2536,8.524715035221192,0.011639213785583916,0.00017638425432171839
POW4,Flat,0.1,Flat_10%,2536,8.174214937379334,0.011136964569272215,0.00015233423011698895
LC-PFN,Flat,0.1,Flat_10%,2074,2.7603667229413986,0.0526408851146698,0.0029439530335366726
MMF4,Flat,0.1,Flat_10%,2074,0.394565399735264,0.007333626335658806,7.624414808052198e-05
WBL4,Flat,0.1,Flat_10%,2074,0.9192805361378436,0.017176644342746517,0.0003407782367704682
POW4,Flat,0.1,Flat_10%,2074,0.8844103371766128,0.01651850040124979,0.0003164401581137181
LC-PFN,Flat,0.1,Flat_10%,1818,1.0617615655064583,0.018995383754372597,0.0005919085815548897
MMF4,Flat,0.1,Flat_10%,1818,4.873393493929368,0.09158366628338095,0.008980805248158958
WBL4,Flat,0.1,Flat_10%,1818,0.73415483427836,0.013030365046756554,0.0003501902639619901
POW4,Flat,0.1,Flat_10%,1818,1.0731782089180388,0.01917876055006276,0.0006600054428452551
LC-PFN,Flat,0.1,Flat_10%,1378,0.25894136633723974,0.004653256386518478,2.669476998562459e-05
MMF4,Flat,0.1,Flat_10%,1378,0.15713922739814964,0.002824587964442951,2.2957200327509485e-05
WBL4,Flat,0.1,Flat_10%,1378,0.15713665514597933,0.0028245418711956662,2.2956841873479795e-05
POW4,Flat,0.1,Flat_10%,1378,0.1571402212354543,0.0028246057198812765,2.2925757554483084e-05
